Barcode,Name,Sales Price,Sales Description,Description for the website,Origin,Website Product Category,barcode_norm,expiration_date,date_repaired
0003, Copper 16 cm pan TAVA,9.95,,,Finland,Pramoninės prekės - higienos priemonės / Pramoninės prekės,3,,
4777000009765,Gruziniška duona,2.50,500g,,,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Kita,4777000009765,,
4262396735201, Quince Jam HUNKAR,3.00,380g,,,Sirupai - džemai - uogienės - sezamo pasta,4262396735201,,
4262457390868, Tahini Halva su  Pistacijos ALTUNİZADE,7.90,300g,,Turkey,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Chalva,4262457390868,,
4262457390844, Tahini Halva su Vanilinė ALTUNİZADE,6.50,300g,,Turkey,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Chalva,4262457390844,,
8717973291992,"""Anatolia"" Džiovintos figos (Turkija)",7.50,500g,,,Džiovinti vaisiai - daržovės / Džiovinti vaisiai,8717973291992,,
8690777012461,%100 Granatų sirupo padažas SERA,7.90,340ml,,,Sirupai - džemai - uogienės - sezamo pasta / Sirupai,8690777012461,,
4262396736055,%100 Pomegranate Concentrate HUNKAR,8.50,250ml,,,Sirupai - džemai - uogienės - sezamo pasta / Sirupai,4262396736055,,
4779031860551,%100 Whey protein HEALTHY CHOICE,98.00,1000g,,,Sveikatos produktai,4779031860551,,
8691216018211,(Crocodile) Fruit Flavor HARIBO (halal),2.50,100g,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai),8691216018211,,
8699401580451,100% Juniper berry syrup DORA LIFE,4.00,380g,,Turkey,Sirupai - džemai - uogienės - sezamo pasta / Sirupai,8699401580451,,
4779031860926,100% grynas kolagenas braškių skonio HEALTHY CHOICE,65.00,500ml,,,Sveikatos produktai,4779031860926,,
4779031860643,100% išrūgų baltymai braškių skonio HEALTHY CHOICE,92.00,1000g,,,Sveikatos produktai,4779031860643,,
4779031860629,100% išrūgų baltymai vanilės skonio HEALTHY CHOICE,92.00,1000g,,,Sveikatos produktai,4779031860629,,
4779031860636,100% išrūgų baltymai šokolado skonio HEALTHY CHOICE,92.00,1000g,,,Sveikatos produktai,4779031860636,,
4779031860223,100% išrūgų baltymų koncentratas HEALTHY CHOICE,92.00,1000g,,,Sveikatos produktai,4779031860223,,
4771459224847,250ml Storage Container STARPAKAS,1.90,10vnt,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,4771459224847,,
4772122002182,3 pepper mix,4.30,70g,,,Prieskoniai / Prieskonių mišiniai,4772122002182,,
5900552080848,4MOVE Sport Grapefruit,1.89,750ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,5900552080848,,
5900552057314,4MOVE Sport Lemon,1.90,750ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,5900552057314,,
5900552057307,4MOVE Sport Multifruit,1.89,750ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,5900552057307,,
5900552070917,4MOVE Sport Strawberry & Watermelon,1.90,750ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,5900552070917,,
4262457391353,7- prieskonių mišinys ALIBABA,3.90,80g,,,Prieskoniai / Prieskonių mišiniai,4262457391353,,
4770477231578,7UP,1.40,500ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,4770477231578,,
